Username,Repo name,Stars,Repo_urls
mrdoob,three.js,82700,https://github.com//mrdoob/three.js
libgdx,libgdx,20100,https://github.com//libgdx/libgdx
pmndrs,react-three-fiber,18300,https://github.com//pmndrs/react-three-fiber
BabylonJS,Babylon.js,17500,https://github.com//BabylonJS/Babylon.js
aframevr,aframe,14300,https://github.com//aframevr/aframe
ssloy,tinyrenderer,13800,https://github.com//ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,13100,https://github.com//lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,11500,https://github.com//FreeCAD/FreeCAD
metafizzy,zdog,9200,https://github.com//metafizzy/zdog
CesiumGS,cesium,8800,https://github.com//CesiumGS/cesium
timzhang642,3D-Machine-Learning,8000,https://github.com//timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7200,https://github.com//a1studmuffin/SpaceshipGenerator
isl-org,Open3D,6900,https://github.com//isl-org/Open3D
blender,blender,5800,https://github.com//blender/blender
domlysz,BlenderGIS,5300,https://github.com//domlysz/BlenderGIS
spritejs,spritejs,4900,https://github.com//spritejs/spritejs
openscad,openscad,4800,https://github.com//openscad/openscad
tensorspace-team,tensorspace,4600,https://github.com//tensorspace-team/tensorspace
jagenjo,webglstudio.js,4600,https://github.com//jagenjo/webglstudio.js
YadiraF,PRNet,4600,https://github.com//YadiraF/PRNet
AaronJackson,vrn,4400,https://github.com//AaronJackson/vrn
google,model-viewer,4400,https://github.com//google/model-viewer
ssloy,tinyraytracer,4200,https://github.com//ssloy/tinyraytracer
mosra,magnum,4100,https://github.com//mosra/magnum
FyroxEngine,Fyrox,4000,https://github.com//FyroxEngine/Fyrox
gfxfundamentals,webgl-fundamentals,3600,https://github.com//gfxfundamentals/webgl-fundamentals
tengbao,vanta,3600,https://github.com//tengbao/vanta
cleardusk,3DDFA,3300,https://github.com//cleardusk/3DDFA
jasonlong,isometric-contributions,3200,https://github.com//jasonlong/isometric-contributions
cnr-isti-vclab,meshlab,3000,https://github.com//cnr-isti-vclab/meshlab
ljianshu,Blog,7100,https://github.com//ljianshu/Blog
metafizzy,infinite-scroll,7100,https://github.com//metafizzy/infinite-scroll
developit,unfetch,5300,https://github.com//developit/unfetch
jquery-form,form,5100,https://github.com//jquery-form/form
olifolkerd,tabulator,4700,https://github.com//olifolkerd/tabulator
Studio-42,elFinder,4300,https://github.com//Studio-42/elFinder
ded,reqwest,2900,https://github.com//ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2800,https://github.com//dwyl/learn-to-send-email-via-google-script-html-no-server
elbywan,wretch,2400,https://github.com//elbywan/wretch
LeaVerou,bliss,2400,https://github.com//LeaVerou/bliss
wendux,ajax-hook,2100,https://github.com//wendux/ajax-hook
yisainan,web-interview,2000,https://github.com//yisainan/web-interview
ptaoussanis,sente,1600,https://github.com//ptaoussanis/sente
nette,tracy,1500,https://github.com//nette/tracy
codingforentrepreneurs,eCommerce,1200,https://github.com//codingforentrepreneurs/eCommerce
k8w,tsrpc,1100,https://github.com//k8w/tsrpc
swlib,saber,959,https://github.com//swlib/saber
opensource-socialnetwork,opensource-socialnetwork,865,https://github.com//opensource-socialnetwork/opensource-socialnetwork
webcreate,infinite-ajax-scroll,860,https://github.com//webcreate/infinite-ajax-scroll
karosLi,KKJSBridge,582,https://github.com//karosLi/KKJSBridge
cferdinandi,atomic,540,https://github.com//cferdinandi/atomic
GoogTech,sms-ssm,514,https://github.com//GoogTech/sms-ssm
dashborg,hibiki,420,https://github.com//dashborg/hibiki
englercj,resource-loader,398,https://github.com//englercj/resource-loader
jsGanttImproved,jsgantt-improved,383,https://github.com//jsGanttImproved/jsgantt-improved
klis87,redux-requests,361,https://github.com//klis87/redux-requests
loadingio,loading-bar,356,https://github.com//loadingio/loading-bar
yceruto,django-ajax,316,https://github.com//yceruto/django-ajax
trco,django-bootstrap-modal-forms,320,https://github.com//trco/django-bootstrap-modal-forms
tulios,mappersmith,307,https://github.com//tulios/mappersmith
jwasham,coding-interview-university,222000,https://github.com//jwasham/coding-interview-university
CyC2018,CS-Notes,152000,https://github.com//CyC2018/CS-Notes
trekhleb,javascript-algorithms,143000,https://github.com//trekhleb/javascript-algorithms
TheAlgorithms,Python,137000,https://github.com//TheAlgorithms/Python
yangshun,tech-interview-handbook,71900,https://github.com//yangshun/tech-interview-handbook
kdn251,interviews,57400,https://github.com//kdn251/interviews
azl397985856,leetcode,48300,https://github.com//azl397985856/leetcode
TheAlgorithms,Java,46400,https://github.com//TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,37100,https://github.com//algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,28000,https://github.com//youngyangyang04/leetcode-master
donnemartin,interactive-coding-challenges,25600,https://github.com//donnemartin/interactive-coding-challenges
halfrost,LeetCode-Go,25500,https://github.com//halfrost/LeetCode-Go
huihut,interview,24500,https://github.com//huihut/interview
keon,algorithms,21100,https://github.com//keon/algorithms
TheAlgorithms,JavaScript,20200,https://github.com//TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,19600,https://github.com//TheAlgorithms/C-Plus-Plus
trekhleb,homemade-machine-learning,19300,https://github.com//trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,18900,https://github.com//mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,15500,https://github.com//AtsushiSakai/PythonRobotics
greyireland,algorithm-pattern,13500,https://github.com//greyireland/algorithm-pattern
OpenGenus,cosmos,13000,https://github.com//OpenGenus/cosmos
halfrost,Halfrost-Field,11200,https://github.com//halfrost/Halfrost-Field
apachecn,apachecn-algo-zh,10600,https://github.com//apachecn/apachecn-algo-zh
lnishan,awesome-competitive-programming,9800,https://github.com//lnishan/awesome-competitive-programming
